title,price,rating,availability
A Light in the Attic,£51.77,star-rating Three,
Tipping the Velvet,£53.74,star-rating One,
Soumission,£50.10,star-rating One,
Sharp Objects,£47.82,star-rating Four,
Sapiens: A Brief History of Humankind,£54.23,star-rating Five,
The Requiem Red,£22.65,star-rating One,
The Dirty Little Secrets of Getting Your Dream Job,£33.34,star-rating Four,
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,star-rating Three,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,star-rating Four,
The Black Maria,£52.15,star-rating One,
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,star-rating Two,
Shakespeare's Sonnets,£20.66,star-rating Four,
Set Me Free,£17.46,star-rating Five,
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,star-rating Five,
Rip it Up and Start Again,£35.02,star-rating Five,
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,star-rating Three,
Olio,£23.88,star-rating One,
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,star-rating One,
Libertarianism for Beginners,£51.33,star-rating Two,
It's Only the Himalayas,£45.17,star-rating Two,
In Her Wake,£12.84,star-rating One,
How Music Works,£37.32,star-rating Two,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,star-rating Three,
Chase Me (Paris Nights #2),£25.27,star-rating Five,
Black Dust,£34.53,star-rating Five,
Birdsong: A Story in Pictures,£54.64,star-rating Three,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,star-rating Three,
Aladdin and His Wonderful Lamp,£53.13,star-rating Three,
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,star-rating Five,
Wall and Piece,£44.18,star-rating Four,
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,star-rating Five,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,star-rating Three,
The Elephant Tree,£23.82,star-rating Five,
The Bear and the Piano,£36.89,star-rating One,
Sophie's World,£15.94,star-rating Five,
Penny Maybe,£33.29,star-rating Three,
Maude (1883-1993):She Grew Up with the country,£18.02,star-rating Two,
"In a Dark, Dark Wood",£19.63,star-rating One,
Behind Closed Doors,£52.22,star-rating Four,
You can't bury them all: Poems,£33.63,star-rating Two,
Slow States of Collapse: Poems,£57.31,star-rating Three,
Reasons to Stay Alive,£26.41,star-rating Two,
Private Paris (Private #10),£47.61,star-rating Five,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,star-rating Five,
Without Borders (Wanderlove #1),£45.07,star-rating Two,
